Algorithm,Run_ID,Episode_Score
Pure Random,0,35.43999999999997
Pure Random,0,37.839999999999954
Pure Random,0,39.239999999999974
Pure Random,0,39.51999999999995
Pure Random,0,43.6799999999999
Pure Random,0,39.999999999999915
Pure Random,0,34.67999999999997
Pure Random,0,34.75999999999997
Pure Random,0,38.67999999999992
Pure Random,0,43.439999999999934
Pure Random,0,35.67999999999998
Pure Random,1,36.23999999999997
Pure Random,1,35.359999999999985
Pure Random,1,34.35999999999998
Pure Random,1,41.07999999999996
Pure Random,1,40.279999999999944
Pure Random,1,35.95999999999996
Pure Random,1,38.07999999999993
Pure Random,1,36.2
Pure Random,1,39.75999999999996
Pure Random,1,36.279999999999966
Pure Random,1,40.27999999999994
Pure Random,1,38.55999999999997
Pure Random,1,38.56
Pure Random,1,33.27999999999999
Pure Random,1,37.199999999999946
Pure Random,1,34.39999999999997
Pure Random,2,39.35999999999994
Pure Random,2,43.479999999999926
Pure Random,2,38.87999999999993
Pure Random,2,42.63999999999996
Pure Random,2,34.75999999999998
Pure Random,2,37.79999999999996
Pure Random,2,34.96
Pure Random,2,41.63999999999993
Pure Random,2,40.83999999999996
Pure Random,2,38.639999999999986
Pure Random,2,31.88
Pure Random,2,29.720000000000002
Pure Random,3,42.839999999999876
Pure Random,3,39.47999999999993
Pure Random,3,35.11999999999997
Pure Random,3,43.239999999999874
Pure Random,3,39.75999999999994
Pure Random,3,35.719999999999985
Pure Random,3,43.47999999999992
Pure Random,3,44.359999999999985
Pure Random,3,32.96
Pure Random,4,41.15999999999995
Pure Random,4,38.919999999999895
Pure Random,4,38.31999999999998
Pure Random,4,38.11999999999997
Pure Random,4,38.07999999999996
Pure Random,4,35.32
Pure Random,4,37.55999999999997
Pure Random,4,38.23999999999994
Pure Random,4,41.35999999999995
Pure Random,4,38.11999999999995
Pure Random,4,35.91999999999998
Pure Random,4,41.039999999999914
Pure Random,5,41.11999999999993
Pure Random,5,38.19999999999995
Pure Random,5,38.679999999999986
Pure Random,5,40.67999999999997
Pure Random,5,39.599999999999945
Pure Random,5,36.59999999999996
Pure Random,5,33.35999999999997
Pure Random,5,35.83999999999999
Pure Random,5,46.31999999999985
Pure Random,5,36.39999999999999
Pure Random,5,41.07999999999994
Pure Random,6,44.999999999999865
Pure Random,6,36.799999999999955
Pure Random,6,37.159999999999975
Pure Random,6,44.55999999999995
Pure Random,6,40.199999999999946
Pure Random,6,45.35999999999989
Pure Random,6,41.839999999999904
Pure Random,6,37.07999999999998
Pure Random,6,29.520000000000003
Pure Random,7,39.119999999999905
Pure Random,7,43.07999999999996
Pure Random,7,53.63999999999991
Pure Random,7,41.43999999999995
Pure Random,7,36.31999999999997
Pure Random,7,35.51999999999997
Pure Random,7,40.67999999999996
Pure Random,7,37.15999999999999
Pure Random,7,41.71999999999994
Pure Random,7,38.359999999999964
Pure Random,7,40.99999999999994
Pure Random,7,39.99999999999994
Pure Random,7,31.799999999999994
Pure Random,8,36.83999999999999
Pure Random,8,38.71999999999996
Pure Random,8,41.35999999999991
Pure Random,8,35.11999999999999
Pure Random,8,44.43999999999989
Pure Random,8,44.51999999999999
Pure Random,8,41.95999999999993
Pure Random,8,40.87999999999993
Pure Random,9,32.79999999999999
Pure Random,9,36.47999999999997
Pure Random,9,37.87999999999998
Pure Random,9,36.27999999999997
Pure Random,9,39.99999999999996
Pure Random,9,43.4799999999999
Pure Random,9,35.16
Pure Random,9,39.23999999999995
Pure Random,9,36.759999999999934
Pure Random,9,35.319999999999965
Pure Random,9,41.559999999999945
Pure Random,9,43.23999999999989
Inertia Random,0,56.239999999999775
Inertia Random,0,40.319999999999936
Inertia Random,0,48.43999999999986
Inertia Random,0,44.39999999999988
Inertia Random,1,58.559999999999754
Inertia Random,1,40.83999999999992
Inertia Random,2,62.839999999999606
Inertia Random,3,60.759999999999756
Inertia Random,3,58.679999999999715
Inertia Random,4,52.59999999999986
Inertia Random,4,57.27999999999976
Inertia Random,4,34.19999999999999
Inertia Random,5,57.079999999999885
Inertia Random,5,53.11999999999985
Inertia Random,5,49.719999999999885
Inertia Random,5,52.7599999999998
Inertia Random,5,58.239999999999775
Inertia Random,6,62.919999999999646
Inertia Random,6,46.799999999999876
Inertia Random,7,57.71999999999977
Inertia Random,7,52.039999999999836
Inertia Random,8,60.71999999999974
Inertia Random,8,52.43999999999984
Inertia Random,9,40.559999999999924
Inertia Random,9,75.75999999999988
Inertia Random,9,49.839999999999954
Inertia Random,9,35.47999999999997
