run_id,reward,batches,budget
1,41.44000000000002,8,1000
2,44.28000000000001,8,1000
3,45.640000000000015,8,1000
4,42.160000000000004,8,1000
5,51.84,8,1000
6,43.96,8,1000
7,50.84000000000002,8,1000
8,44.519999999999996,8,1000
9,46.440000000000005,8,1000
10,44.839999999999996,8,1000
